year,Base,Higher mortality,Lower interest,Higher benefit
12.25,6625.224465958817,-3449.451743393983,5999.221392525554,1656.3061164897042
12.333333333333332,6684.622841002554,-3481.4240421134064,6048.618483087336,1671.1557102506385
12.416666666666666,6744.254315871052,-3513.5378641193743,6098.147475014274,1686.063578967763
12.5,6804.119805328869,-3545.7938358554466,6147.80872051274,1701.0299513322173
12.583333333333332,6864.220227730413,-3578.192586538094,6197.602572729577,1716.0550569326033
12.666666666666666,6924.556505034041,-3610.7347481689753,6247.529385754613,1731.1391262585103
12.75,6985.129562816189,-3643.4209555472603,6297.589514623171,1746.2823907040472
12.833333333333332,7045.940330285574,-3676.2518462820162,6347.783315318601,1761.4850825713936
12.916666666666666,7106.989740297458,-3709.228060804647,6398.11114477481,1776.7474350743646
13.0,7168.278729367944,-3742.350242381383,6448.573360878795,1792.069682341986
13.083333333333332,7229.808237688349,-3775.619037125829,6499.170322473195,1807.4520594220874
13.166666666666666,7291.579209139632,-3809.0350940115727,6549.902389358839,1822.894802284908
13.25,7353.592591306864,-3842.599064884838,6600.769922297307,1838.398147826716
13.333333333333332,7415.849335493767,-3876.311604477203,6651.773283013489,1853.9623338734418
13.416666666666666,7478.350396737315,-3910.1733704183766,6702.912834198168,1869.5875991843288
13.5,7541.096733822373,-3944.185023249018,6754.188939510588,1885.2741834555932
13.583333333333332,7604.08930929641,-3978.3472264336265,6805.601963581048,1901.0223273241024
13.666666666666666,7667.329089484269,-4012.6606463734875,6857.152272013492,1916.8322723710673
13.75,7730.817044502986,-4047.1259524196644,6908.840231388108,1932.7042611257466
13.833333333333332,7794.5541482766685,-4081.74381688606,6960.666209263934,1948.6385370691671
13.916666666666666,7858.541378551446,-4116.514915062532,7012.6305741814795,1964.6353446378614
14.0,7922.779716910458,-4151.439925228063,7064.7336956653335,1980.6949292276145
14.083333333333332,7987.270148788918,-4186.519528663992,7116.975944226801,1996.8175371972295
14.166666666666666,8052.013663489233,-4221.754409667309,7169.357691366539,2013.0034158723083
14.25,8117.011254196171,-4257.145255563996,7221.879309577191,2029.2528135490427
14.333333333333332,8182.2639179921,-4292.69275672244,7274.541172346039,2045.565979498025
14.416666666666666,8247.772655872292,-4328.3976065669,7327.343654157667,2061.943163968073
14.5,8313.538472760265,-4364.26050159103,7380.287130496609,2078.3846181900662
14.583333333333332,8379.562377523209,-4400.282141371466,7433.371977850032,2094.890594380802
14.666666666666666,8445.845382987458,-4436.46322858148,7486.598573710407,2111.4613457468645
14.75,8512.388505954028,-4472.804469004674,7539.967296578197,2128.097126488507
14.833333333333332,8579.192767214212,-4509.306571548758,7593.478525964543,2144.798191803553
14.916666666666666,8646.259191565248,-4545.970248259379,7647.132642393971,2161.564797891312
15.0,8713.588807826029,-4582.796214334004,7700.930027407088,2178.397201956507
15.083333333333332,8781.18264885289,-4619.785188135872,7754.871063563304,2195.2956622132224
15.166666666666666,8849.041751555456,-4656.937891208016,7808.956134443549,2212.2604378888636
15.25,8917.167156912543,-4694.255048287328,7863.185624652998,2229.2917892281353
15.333333333333332,8985.559909988126,-4731.7373873187,7917.55991982381,2246.389977497031
15.416666666666666,9054.221059947378,-4769.3856394692275,7972.079406617869,2263.555264986844
15.5,9123.15166007276,-4807.200539142467,8026.744472729533,2280.7879150181893
15.583333333333332,9192.352767780172,-4845.182823992764,8081.555506888391,2298.0881919450426
15.666666666666666,9261.825444635193,-4883.333234939643,8136.51289886203,2315.456361158798
